ID,var_resp,prob
-2566145023669016393,1,0.78893924
-2802643317543404810,0,0.025765035
7457484512666334636,0,0.31688067
8320674852027678960,1,0.5317223
-7495693851562851922,0,0.26864415
7632511109875147917,0,0.10907426
4338369869992166320,0,0.08718069
-6881946549616547208,1,0.5727025
-7317506074060178980,1,0.5116724
-5540152237092306141,0,0.14610101
9155104994696256277,0,0.22480091
8308554553301372911,0,0.35938028
7142905096746918273,0,0.09063415
376507740028610355,0,0.028305143
3783996417218850233,1,0.5188504
7155480701122207435,0,0.14501879
-5585037082688542991,0,0.32330093
-2772961112644990510,0,0.099816725
-7160312737004213918,1,0.8127152
-3466375393977746527,0,0.26965815
7242688345335733016,0,0.24504718
5988462038992945267,0,0.25667232
5249676713439930282,0,0.075738996
-717672741560598369,1,0.517217
4454292859036024353,0,0.06509271
-5147185527983706540,0,0.021844726
-5183339202566052296,0,0.09867305
9010120833313007097,0,0.21965024
-2521903200154830599,0,0.27769154
4838432155276746724,0,0.14175166
8380926412198233616,0,0.30354938
-3472465272761331041,0,0.24705051
-1021551619384543667,0,0.41863224
-6533816008695721186,1,0.9118537
-853631307037485963,0,0.1642641
-6735997903561912939,0,0.07210809
2314521104266005575,0,0.4856265
6039920354931731107,1,0.82539123
744106760663224563,0,0.089010864
-4774286264150338312,0,0.3601105
-5986708104543173591,0,0.07619228
-7288421235102598447,0,0.11386257
3172179159666912104,0,0.082506515
-8589419375122370564,0,0.45854557
1784563476410829110,0,0.014235327
3271911779784858180,1,0.8394124
-7569352842349481838,1,0.8195366
2560880459496235639,0,0.3919197
8626175653778648558,0,0.094476625
8400758789074165769,1,0.8027521
2097004051218727808,0,0.17156479
-4811103593569050599,1,0.5169606
-796820265542838437,0,0.22547472
-2131626149409472215,0,0.040170394
-2649641467692635529,0,0.13888398
2390300313702546028,0,0.36375988
832641786978476787,0,0.043747347
6961667700349606478,0,0.30284917
-4711588727665896116,0,0.14304769
999868876733162570,0,0.08518494
9099121701235935303,0,0.15557262
-1025009691611908639,1,0.5910053
2561250109998124556,1,0.85468894
4077386098712472976,0,0.049650073
-524040685499829947,0,0.16905649
9153303103220742312,0,0.48484802
4667518260586196792,1,0.76657325
-6840755640477120595,1,0.72216797
-3033734435560352219,0,0.0842676
7742816374056205283,0,0.44850308
7179415307443379149,0,0.11531689
-2384075039046345170,1,0.73119396
-1457216410439661976,1,0.8932734
6098595316989790793,1,0.95875055
8454453230487081847,0,0.34450534
-2371415370324318984,0,0.30390507
-2694560234099581252,0,0.35893136
4504698088939425341,0,0.45599788
5822990353961103707,0,0.4124064
-4883259878345416254,0,0.20075248
-7427910547017324051,0,0.11436586
-6828336614269056024,1,0.76321214
-7429553221571695857,0,0.17813393
2444320946380186078,1,0.53154665
-4311041026246784333,1,0.6662741
-4091538428364868992,1,0.7792947
8773434795770389558,0,0.34012353
-2354342368796300329,0,0.22139491
-27442194329771269,0,0.036304854
3286675047830568216,0,0.17617728
5880110642836355942,1,0.6647893
-5547600240431467480,0,0.083737954
-6063349907623932823,0,0.18005122
7263183206092263482,0,0.39964974
6936636157971586862,1,0.7192143
8579883384881949821,0,0.2549068
-1769674518899666627,0,0.071835466
-1641343432479650930,1,0.59855914
6246190202569436920,1,0.5453713
3209423406870025869,0,0.07337192
-2004360248910732488,0,0.1371838
-7011777977327362596,0,0.48456192
-690896066453178776,0,0.17018344
-3047910432770777039,1,0.8968553
-1171396870823790287,0,0.05204887
-8121085205382709677,0,0.28803378
5606561176215953928,0,0.11223388
7685705943491840991,0,0.31271875
-1743395879764907673,1,0.79638594
4339263253700100263,0,0.07254395
3968099903414846955,0,0.18855174
-4152221108014607146,1,0.73725945
5209546638433220633,0,0.12389299
4058602430269617554,1,0.60128343
-4106618059267814313,0,0.45310125
6276337701917358534,0,0.31245142
8449603441421175069,0,0.04523886
4029085686952647527,1,0.65130025
-7484773855557509769,0,0.070710205
-2251766619229811660,0,0.45355302
5388073022661486602,1,0.68365294
-1482169593359848526,0,0.11122213
7400051583710043875,0,0.009263636
1426600652274652579,0,0.086821266
489643015562982503,1,0.54047906
4546977899256388648,0,0.12280642
-2448787332843437302,0,0.12305656
4298214101192010108,0,0.30564216
504130874743875837,0,0.051295742
-6338757028080580163,0,0.15625998
3617839807707105310,0,0.093923084
-6141989139326745600,0,0.04842971
4426202388974883360,0,0.4062276
3313612455471160943,0,0.30009216
3356924970695600457,0,0.35577694
-6670103380448651977,0,0.34719223
-2690089294155805757,0,0.44101
3027851396329770998,0,0.09232191
7751314520704750823,0,0.11593044
5432878826598481808,1,0.9042103
5422264948383251998,0,0.039926227
-4057322144577638444,0,0.49133325
-7943819814654327500,0,0.016985318
5894007513787082635,0,0.025624782
-7327325680722929118,0,0.18189272
8467357304364417549,0,0.122022815
-5424316326143364418,1,0.5214137
5740971571824431621,0,0.34727505
2788486546709778005,0,0.34399375
-6180918521437097102,1,0.6242126
8911955463252711797,1,0.6372153
7688612010368378809,1,0.6432978
4911925844329981300,0,0.36123186
-6768092692833963161,1,0.6179273
-5835416801613783703,0,0.16514894
5387003540139199349,0,0.35231256
5985373407140379800,1,0.5235599
-2656819626032191383,1,0.69442487
-4659946757443406720,0,0.43420014
487359337964701076,1,0.5824289
-1208972499661087588,0,0.46817818
1597004546620573126,1,0.77656657
-234277873023809022,0,0.4074925
-6579204634685810892,0,0.078896426
